Time Stamp, X-axis, Y-axis, Z-axis
10:43:54,-0.1573,-1.2627,0.8825
10:43:54,-0.3074,-0.4361,0.9426
10:43:54,-0.3382,-0.4605,0.6476
10:43:54,0.0132,-0.4702,0.9124
10:43:54,0.204,0.0515,1.112
10:43:54,-0.0316,0.1566,1.2626
10:43:54,-0.071,0.3075,0.9062
10:43:54,0.3315,0.3749,1.0261
10:43:54,0.2597,1.0516,0.9735
10:43:54,-0.0908,1.0015,0.7222
10:43:54,-0.1004,0.932,1.3793
10:43:54,-0.3674,1.3465,0.9974
10:43:54,-0.4829,1.3104,1.3068
10:43:54,-0.1858,1.3523,1.2811
10:43:54,0.2727,1.4102,1.069
10:43:54,0.1044,1.1974,1.0593
10:43:54,0.1661,0.0529,0.669
10:43:54,-0.4707,0.9547,0.8284
10:43:54,-0.2566,0.7975,0.8594
10:43:54,0.0533,0.7473,0.6403
10:43:54,0.2133,0.6849,0.9941
10:43:54,0.1311,0.9592,0.8881
10:43:54,0.0383,0.4519,0.9588
10:43:54,-0.2415,-0.0121,1.2855
10:43:54,0.134,0.024,0.9977
10:43:54,-0.2636,-1.0899,1.3763
10:43:54,0.1333,-1.3486,0.9251
10:43:54,-0.8736,-1.0739,0.1193
10:43:54,-0.7951,-0.8418,0.9555
10:43:54,0.5538,-0.5418,1.2717
10:43:54,0.1324,-0.0769,0.8232
10:43:54,0.6232,-0.2995,0.9706
10:43:54,-0.5376,0.6012,0.9005
10:43:54,-0.2564,1.0542,0.9669
10:43:54,-0.2619,0.7266,1.4575
10:43:54,0.301,1.3414,1.0602
10:43:54,0.2598,1.2465,0.9296
10:43:54,-0.0372,0.9365,0.8939
10:43:54,-0.1179,1.3331,1.1772
10:43:54,0.3549,0.9424,0.7923
10:43:54,0.6925,0.5968,1.2084
10:43:54,-0.0016,0.72,1.4236
10:43:54,-0.1785,-0.3646,0.9875
10:43:54,0.0664,-0.6116,0.7735
10:43:54,0.3532,-1.0647,1.1645
10:43:54,0.5801,-0.7026,0.4804
10:43:54,-0.2799,-1.3253,1.188
10:43:54,0.3199,-0.0292,1.0367
10:43:54,0.0113,-0.4451,0.9173
10:43:54,0.6761,-0.5963,1.2254
10:43:54,0.3187,0.1522,0.7893
10:43:54,-0.1408,0.0118,0.8
10:43:54,-0.2353,0.7462,0.8848
10:43:54,0.338,1.0336,1.2067
10:43:54,-0.5032,0.9273,1.088
10:43:54,-1.0531,0.7599,0.7452
10:43:54,-0.6331,0.9499,0.7659
10:43:54,0.3318,0.7053,0.4486
10:43:54,0.512,0.6229,1.4434
10:43:54,-0.458,0.7769,1.2392
10:43:54,-0.1024,-0.0341,0.5541
10:43:54,-0.3494,0.1917,1.0557
10:43:54,0.0804,-0.7052,1.2839
10:43:54,0.0421,-0.8031,0.5447
10:43:54,-0.3271,-0.566,0.9438
10:43:54,-0.4004,-1.4057,0.7409
10:43:54,0.0999,-0.2192,0.6981
10:43:54,0.2658,0.1552,0.9493
10:43:54,-0.4864,-0.0115,0.8382
10:43:54,-0.4575,-0.1251,1.2032
10:43:54,0.0576,0.4971,1.4234
10:43:54,-0.1741,0.663,1.2379
10:43:54,-1.1891,0.6136,1.0206
10:43:54,-0.2547,0.8929,0.6885
10:43:54,0.1425,1.133,0.9417
10:43:54,-0.1763,1.3815,1.243
10:43:54,0.4304,1.3592,1.1729
10:43:54,0.1096,0.3816,1.132
10:43:54,-0.3435,0.4778,1.2035
10:43:54,-0.5016,-0.1082,1.0524
10:43:54,-0.2393,-0.1851,1.2651
10:43:54,0.005,-0.5228,1.051
10:43:54,0.4237,-0.784,0.7293
10:43:54,-0.0167,-0.0726,1.046
10:43:54,0.0359,-1.1139,0.9491
10:43:54,0.9549,-0.9061,0.6184
10:43:54,-0.0345,-0.1156,1.1205
10:43:54,-0.0749,0.5705,1.0916
10:43:54,-0.2122,0.4015,1.0215
10:43:54,0.0828,0.53,1.2927
10:43:54,-0.0153,0.9581,0.9556
10:43:54,-0.1339,0.607,0.8448
10:43:54,0.7291,1.619,1.1372
10:43:54,0.4361,1.5175,1.1615
10:43:54,-0.0086,1.2814,1.1708
10:43:54,-0.3626,1.1884,1.1532
10:43:54,-0.3379,0.8847,0.9706
10:43:54,-0.1364,-0.322,0.9667
10:43:54,0.2052,-0.1953,0.8886
10:43:54,-0.1447,0.0041,0.5182
10:43:54,-0.453,-0.7772,1.1573
10:43:54,0.4114,-0.9422,0.393
10:43:54,0.5255,-0.9044,1.3576
10:43:54,0.0917,-0.5078,1.1468
10:43:54,-0.1426,-0.5517,0.7047
10:43:54,-0.2834,-0.8476,1.0849
10:43:54,0.2559,-0.43,1.2431
10:43:54,-0.1317,0.76,1.1768
10:43:54,-0.5265,0.3631,0.7557
10:43:54,-0.4344,0.8187,1.1883
10:43:54,0.1761,1.0823,1.0137
10:43:54,-0.3207,0.9113,1.1231
10:43:54,-0.3611,0.938,1.5049
10:43:54,-0.2442,0.5391,0.5452
10:43:54,-0.446,0.6511,1.7248
10:43:54,-0.0502,0.8166,1.2769
10:43:54,-0.15,0.0219,0.7191
10:43:54,-0.2247,-0.6159,0.9701
10:43:54,0.2524,-0.237,1.0468
10:43:54,-0.0871,-0.6045,0.8713
10:43:54,0.1108,-0.9338,1.3559
10:43:54,0.5571,-0.8546,0.8478
10:43:54,-0.4763,-0.2369,0.8093
10:43:54,-0.1864,-0.1839,1.1418
10:43:54,0.1504,0.2807,1.1828
10:43:54,0.268,-0.1883,1.0307
10:43:54,0.1422,0.1395,1.1772
10:43:54,0.2708,1.0382,0.8529
10:43:54,-0.2347,1.1897,1.0301
10:43:54,0.6405,1.3975,1.075
10:43:54,0.4808,1.3218,1.0074
10:43:54,-0.2227,1.0579,1.4632
10:43:54,0.1368,0.7501,1.0416
10:43:54,-0.2627,1.1607,1.4243
10:43:54,0.1524,0.4405,0.8478
10:43:54,0.1164,0.2884,1.0283
10:43:54,-0.4269,0.5568,1.1984
10:43:54,0.1036,-0.475,0.8752
10:43:54,0.1283,-0.8382,1.4434
10:43:54,1.2776,-0.733,0.6791
10:43:54,-0.2894,-0.0748,0.9062
10:43:54,-0.1334,-1.427,1.4236
10:43:54,0.0234,0.0264,1.0922
10:43:54,-0.0672,-0.587,1.0027
10:43:54,0.3192,-0.4839,0.9194
10:43:54,-0.4665,-0.1135,1.0075
10:43:54,-0.4316,0.2608,0.8418
10:43:54,0.5017,1.1138,0.9917
10:43:54,0.4895,1.4526,1.1099
10:43:54,-0.2573,1.5799,1.0996
10:43:54,-0.9492,0.9332,1.2143
10:43:54,-0.2844,1.2428,0.9336
10:43:54,-0.1887,0.8332,1.05
10:43:54,-0.1536,0.3017,0.6335
10:43:54,-0.4055,-0.1691,0.9627
10:43:54,0.0241,-0.1059,1.0799
10:43:54,-0.1875,-0.3689,0.8643
10:43:54,0.573,-0.3482,0.6021
10:43:54,-0.5154,-0.7773,1.3586
10:43:54,-0.0759,-1.1389,1.0698
10:43:54,-0.6428,-0.6287,0.7496
10:43:54,0.0357,-0.8717,1.4427
10:43:54,-0.446,-0.5045,0.8312
10:43:54,-0.7066,-0.2491,1.2777
10:43:54,-0.133,0.2347,0.6647
10:43:54,0.1211,0.6731,1.1427
10:43:54,-0.0172,0.8817,0.9817
10:43:54,-1.0751,0.8908,1.0331
10:43:54,-0.2981,0.9324,0.986
10:43:54,0.0047,0.9975,1.2819
10:43:54,-0.3721,1.2003,1.3316
10:43:54,-0.1431,0.9609,1.0354
10:43:54,-0.1876,-0.0442,0.6614
10:43:54,-0.4668,0.3322,1.0369
10:43:54,0.1711,-0.2622,0.7381
10:43:54,0.1713,-0.1836,1.0308
10:43:54,0.7846,0.1599,0.7152
10:43:54,0.1795,-0.1877,0.9428
10:43:54,-0.302,-1.1949,1.0174
10:43:54,-0.0703,-0.8691,0.761
10:43:54,0.032,-0.3741,0.4586
10:43:54,-0.0911,-1.0456,0.8985
10:43:54,0.1676,0.909,1.0657
10:43:54,0.3543,0.6165,0.8081
10:43:54,0.3441,0.8039,0.8944
10:43:54,0.0188,1.0798,0.9798
10:43:54,-0.4748,1.3203,0.8308
10:43:54,-0.1205,1.0911,1.283
10:43:54,-0.0009,0.7741,0.5426
10:43:54,0.0344,0.8524,1.3255
10:43:54,-0.396,0.8559,0.7919
10:43:54,-0.3772,0.3467,0.1238
10:43:54,0.5974,-0.1465,0.7058
10:43:54,-0.107,-0.0802,1.2962
10:43:54,-0.7523,-0.5103,0.5846
